Páginas principais,Cliques,Impressões,CTR,Posição
https://www.stz.com.br/sandalia-gabriela-essenciais-salto-grosso-detalhe-tira-marrom-5187492-p2737899,41,27927,0.15%,1.84
https://www.stz.com.br/marcas/dakota,40,19437,0.21%,11.75
https://www.stz.com.br/sandalia-papete-infantil-disney-minnie-mouse-carrinho-organizador-rosa-5199391-p2819165,40,8012,0.5%,3.12
https://www.stz.com.br/vertus-street-style,39,6807,0.57%,6.79
https://www.stz.com.br/tenis-olympikus-citrus-2-esportivo-feminino-cinza-5192768-p2784638,38,36037,0.11%,3.96
https://www.stz.com.br/marcas/stz?pg=4,38,16700,0.23%,7.44
https://www.stz.com.br/sandalia-gabriela-salto-fino-tira-metalizada-prata-5183455-p2702118,38,3010,1.26%,20.07
https://www.stz.com.br/acessorios/garrafas-e-copos,38,2862,1.33%,8.83
https://www.stz.com.br/chinelo-infantil-havaianas-kids-slim-princess-frozen-glitter-lilas-5191491-p2777213,37,54109,0.07%,4.17
https://www.stz.com.br/marcas/stz?pg=5,37,8716,0.42%,5.53
https://www.stz.com.br/calcados-masculinos?pg=3,37,4707,0.79%,14.77
https://www.stz.com.br/tenis-nike-court-vision-lo-street-masculino-couro-preto-5168173-p1722198,36,10905,0.33%,11.24
https://www.stz.com.br/chinelo-ipanema-kirei-print-rosa-5177557-p2637101,36,457,7.88%,12.68
https://www.stz.com.br/garrafa-com-canudo-stz-hora-de-beber-agua-rosa-5187543-p2738689,35,24567,0.14%,6.95
https://www.stz.com.br/tenis-olympikus-clic-eleva-esportivo-masculino-knit-preto-5197747-p2813118,35,24488,0.14%,5.25
https://www.stz.com.br/marcas/umbro,35,13707,0.26%,11.76
https://www.stz.com.br/marcas/cartago-kids,35,13018,0.27%,8.8
https://www.stz.com.br/marcas/gabriela?pg=4,35,2347,1.49%,3.58
https://www.stz.com.br/campanha-tenis-infantil,34,1988,1.71%,5.41
https://www.stz.com.br/canal-etica,34,472,7.2%,13.66
https://www.stz.com.br/garrafa-galao-mini-cross-road-academia-com-alca-preto-2-2-l-5172462-p2601240,33,30446,0.11%,2.85
https://www.stz.com.br/mochila-mormaii-logo-ziper-preto-5198380-p2814512,33,12924,0.26%,4.81
https://www.stz.com.br/campanha-semana-do-consumidor,33,7701,0.43%,60.75
https://www.stz.com.br/marcas/ferracini,33,7350,0.45%,16.97
https://www.stz.com.br/campanha-tudo-por-99,33,2494,1.32%,8.15
https://www.stz.com.br/tenis-converse-all-star-chuck-taylor-preto-5009122-p1340,32,77408,0.04%,9.83
https://www.stz.com.br/sandalia-papete-infantil-disney-minnie-mouse-mochila-rosa-5198220-p2813164,32,31436,0.1%,8.51
https://www.stz.com.br/acessorios,32,10428,0.31%,11.81
https://www.stz.com.br/garrafa-com-canudo-stz-transparente-confete-glitter-pink-5188076-p2742826,32,6723,0.48%,2.78
https://www.stz.com.br/campanha-bolsas-carteiras,32,3773,0.85%,6.23
https://www.stz.com.br/hotsite,32,2823,1.13%,7.36
https://www.stz.com.br/marcas/cross-road-kids,32,1943,1.65%,6.93
https://www.stz.com.br/chinelo-gabriela-conforto-tira-larga-texturizado-preto-5181817-p2682431,31,19072,0.16%,7.92
https://www.stz.com.br/tenis-olympikus-esportivo-feminino-pride-3-neon-verde-5192816-p2784745,31,9902,0.31%,4.77
https://www.stz.com.br/mochila-gabriela-essenciais-texturizado-caramelo-5191672-p2778868,31,3368,0.92%,5.41
https://www.stz.com.br/marcas/mooncity,30,7038,0.43%,8.35
https://www.stz.com.br/sandalia-zaxy-pop-up-plataforma-tiras-cruzadas-metalizada-preto-5193890-p2790741,30,2937,1.02%,7.38
https://www.stz.com.br/campanha-calcado-infantil,30,2668,1.12%,9.37
https://www.stz.com.br/sandalia-vizzano-salto-grosso-detalhe-decote-glitter-rose-5198339-p2814008,29,22337,0.13%,3.55
https://www.stz.com.br/tamanco-papete-modare-ultraconforto-flatform-pedraria-bege-5199753-p2819620,28,22869,0.12%,3.23
https://www.stz.com.br/sandalia-gabriela-salto-grosso-flor-metalizada-ouro-5200786-p2828691,28,5304,0.53%,7.23
https://www.stz.com.br/tenis-nike-revolution-6-esportivo-feminino-rosa-5192794-p2784947,27,27029,0.1%,5.85
https://www.stz.com.br/tenis-via-marte-casual-anabela-feminino-metalizado-bege-5196580-p2802081,27,5970,0.45%,3.63
https://www.stz.com.br/marcas/charmosinha-chic,27,4200,0.64%,7.97
https://www.stz.com.br/marcas/liberte,27,2714,0.99%,8.12
https://www.stz.com.br/tenis-fila-progress-lite-jogging-esportivo-masculino-preto-5198727-p2817859,26,31719,0.08%,3.24
https://www.stz.com.br/marcas/gabriela?pg=3,26,10592,0.25%,4.76
https://www.stz.com.br/sandalia-vizzano-salto-grosso-detalhe-decote-glitter-metalizada-prata-5198340-p2814009,26,10011,0.26%,4.54
https://www.stz.com.br/calcados-masculinos/sapato-casual,25,50286,0.05%,10.61
https://www.stz.com.br/tenis-infantil-nike-downshifter-12-next-nature-holografico-preto-5192969-p2785867,25,41596,0.06%,8.95
https://www.stz.com.br/chinelo-gabriela-conforto-tira-larga-texturizado-off-white-5181815-p2682429,25,3171,0.79%,06.09
https://www.stz.com.br/sandalia-papete-infantil-disney-pixar-buzz-lightyear-mochila-azul-5199413-p2819179,25,1441,1.73%,6.78
https://www.stz.com.br/sandalia-aranha-infantil-stitch-disney-bolsa-clutch-tiracolo-glitter-rosa-5199393-p2819166,24,14155,0.17%,7.22
https://www.stz.com.br/garrafa-stz-rosa-5149393-p163540,24,10169,0.24%,5.31
https://www.stz.com.br/pre-venda-verao,24,9270,0.26%,5.3
https://www.stz.com.br/marcas/usaflex,24,7780,0.31%,23.99
https://www.stz.com.br/campanha-outono-inverno,24,4698,0.51%,40.3
https://www.stz.com.br/chinelo-infantil-havaianas-brasil-logo-branco-5183953-p2707034,24,4509,0.53%,8.93
https://www.stz.com.br/marcas/gabriela?pg=2,24,3593,0.67%,5.96
https://www.stz.com.br/bolsa-tote-media-gabriela-essenciais-texturizada-nude-5179575-p2663301,24,2988,0.8%,5.74
https://www.stz.com.br/chuteira-futsal-indoor-pro-oxn-spartak-5-masculino-vermelho-preto-5198750-p2817872,24,1519,1.58%,5.46
https://www.stz.com.br/campanha-tendencias-estacao,23,19976,0.12%,5.54
https://www.stz.com.br/rasteira-penelope-vazados-textura-snake-nude-5191449-p2776808,23,1653,1.39%,5.16
https://www.stz.com.br/gabriela-chinelos,23,1426,1.61%,5.58
https://www.stz.com.br/marcas/addan,23,1168,1.97%,7.31
https://www.stz.com.br/sandalia-gabriela-essenciais-salto-grosso-pespontos-off-white-5162697-p1653132,22,45013,0.05%,7.45
https://www.stz.com.br/tenis-olympikus-vibracao-esportivo-masculino-preto-5183117-p2697026,22,22491,0.1%,4.79
https://www.stz.com.br/calcados-salto-medio,22,3364,0.65%,11.19
https://www.stz.com.br/tenis-adidas-grand-court-base-2-0-casual-feminino-floral-branco-5196904-p2804524,22,1777,1.24%,20.15
https://www.stz.com.br/mochila-vertus-notebook-tecido-preto-5194662-p2795289,22,833,2.64%,10.48
https://www.stz.com.br/palmilha-comfort-stz-em-gel-incolor-5153507-p1130988,22,416,5.29%,19.68
https://www.stz.com.br/menino/babuches,21,11792,0.18%,9.96
https://www.stz.com.br/bolsa-porta-celular-gabriela-alca-corrente-preto-5198711-p2816464,21,6205,0.34%,10.22
https://www.stz.com.br/chinelo-havaianas-urban-way-grafite-5163393-p1659059,21,1078,1.95%,9.98
https://www.stz.com.br/marcas/asics,20,33548,0.06%,11.74
https://www.stz.com.br/marcas/piccadilly,20,20866,0.1%,9.82
https://www.stz.com.br/sandalia-papete-mississipi-flatform-tiras-strass-rose-5194191-p2792607,20,20148,0.1%,4.8
https://www.stz.com.br/scarpin-vizzano-salto-fino-glitter-metalizado-dourado-5198199-p2813978,20,17123,0.12%,7.71
https://www.stz.com.br/tenis-puma-carina-ps-bdp-soft-foam-optimal-confort-feminino-preto-5196949-p2804891,20,9317,0.21%,6.85
https://www.stz.com.br/parceiro-crc,20,4915,0.41%,6.34
https://www.stz.com.br/mule-modare-ultraconforto-salto-grosso-detalhe-fivela-caramelo-5197516-p2810202,20,4863,0.41%,4.13
https://www.stz.com.br/campanha-papete-e-flatform,20,3266,0.61%,10.58
https://www.stz.com.br/tamanco-clog-bebece-plataforma-tresse-caramelo-5202706-p2837488,20,1057,1.89%,02.06
https://www.stz.com.br/bolsa-tiracolo-pequena-vertus-pespontos-verde-militar-5177390-p2635387,20,186,10.75%,3.1
https://www.stz.com.br/tenis-olympikus-only-2-casual-masculino-branco-5183477-p2702410,19,23571,0.08%,6.72
https://www.stz.com.br/bolsa-de-praia-grande-gabriela-trama-rafia-bege-5197342-p2807853,19,16918,0.11%,7.81
https://www.stz.com.br/mocassim-vizzano-perfuros-camurca-caramelo-5165448-p1681860,19,9910,0.19%,8.27
https://www.stz.com.br/sandalia-papete-infantil-barbie-mochila-modular-glitter-pink-5199208-p2819696,19,7428,0.26%,1.53
https://www.stz.com.br/slide-havaianas-aqua-metallic-tiras-cruzadas-bege-5197278-p2807599,19,6638,0.29%,7.1
https://www.stz.com.br/tenis-nike-revolution-7-casual-feminino-cinza-5195522-p2806519,19,5180,0.37%,10.45
https://www.stz.com.br/tenis-modare-ultraconforto-casual-feminino-knit-preto-5190438-p2765355,19,4559,0.42%,10.14
https://www.stz.com.br/marcas/ramarim,19,3341,0.57%,26.9
https://www.stz.com.br/scarpin-slingback-vizzano-salto-fino-tiras-cruzadas-verniz-vinho-5200533-p2826597,18,136841,0.01%,10.04
https://www.stz.com.br/bota-coturno-gabriela-plataforma-tratorada-pespontos-off-white-5196073-p2798678,18,24360,0.07%,09.09
https://www.stz.com.br/sandalia-modare-ultraconforto-salto-grosso-color-5191517-p2778253,18,11503,0.16%,2.7
https://www.stz.com.br/tamanco-beira-rio-plataforma-acolchoado-preto-5197760-p2818919,18,10619,0.17%,7.47
https://www.stz.com.br/sandalia-vizzano-meia-pata-detalhe-strass-glitter-prata-5194458-p2794988,18,6987,0.26%,3.31
https://www.stz.com.br/shoulder-bag-nike-heritage-s-smit-preto-5193893-p2790893,18,6263,0.29%,06.07
https://www.stz.com.br/sandalia-modare-ultraconforto-salto-grosso-pedraria-elastico-verde-5196956-p2804898,18,6133,0.29%,4.68
https://www.stz.com.br/chinelo-havaianas-slim-nude-5138105-p80137,18,5146,0.35%,3.65
https://www.stz.com.br/sandalia-modare-ultraconforto-salto-grosso-elastico-nude-5196222-p2799652,18,4281,0.42%,6.82
https://www.stz.com.br/rasteira-papete-beira-rio-flat-fivelas-off-white-5195566-p2800787,18,3766,0.48%,7.65
https://www.stz.com.br/campanha-dia-do-consumidor,18,3265,0.55%,24.97
https://www.stz.com.br/calcados-femininos?pg=2,18,2931,0.61%,5.74
https://www.stz.com.br/tenis-converse-all-star-chuck-taylor-lift-flatform-branco-5144541-p4183,18,2840,0.63%,17.13
https://www.stz.com.br/scarpin-gabriela-salto-fino-detalhe-verniz-nude-5190901-p2770447,18,760,2.37%,9.84
https://www.stz.com.br/tenis-actvitta-esportivo-masculino-tecido-preto-5193300-p2787251,17,67095,0.03%,5.14
https://www.stz.com.br/seja-voce,17,16918,0.1%,6.85
https://www.stz.com.br/marcas/skechers,17,11284,0.15%,12.19
https://www.stz.com.br/dotz,17,4538,0.37%,25.16
https://www.stz.com.br/hotsite/campanha-bolsas-acessorios?pg=2,17,3566,0.48%,2.31
https://www.stz.com.br/tenis-gabriela-casual-feminino-tiras-cruzadas-elastico-preto-5189653-p2758575,17,2984,0.57%,3.67
https://www.stz.com.br/sandalia-espadrille-gabriela-anabela-tiras-cruzadas-camurca-nude-5192674-p2783959,17,2866,0.59%,15.77
https://www.stz.com.br/cadarco-extra-infantil-stz-dois-pares-branco-5153505-p1130986,17,2454,0.69%,8.47
https://www.stz.com.br/acessorios/beleza,17,2349,0.72%,11.41
https://www.stz.com.br/sandalia-gabriela-flatform-amarracao-metalizada-dourada-5193193-p2786794,17,1977,0.86%,6.9
https://www.stz.com.br/tenis-infantil-converse-all-star-chuck-taylor-amarelo-5163494-p1659509,17,1906,0.89%,5.57
https://www.stz.com.br/nova-loja-cascavel,17,975,1.74%,8.53
https://www.stz.com.br/sandalia-vizzano-plataforma-tiras-metalizada-glitter-dourada-5198361-p2814022,16,52567,0.03%,5.36
https://www.stz.com.br/tenis-polo-energy-casual-pespontos-tecido-branco-5152176-p1108764,16,31528,0.05%,8.77
https://www.stz.com.br/sandalia-vizzano-salto-grosso-metalizado-tira-strass-preto-5198356-p2814017,16,30730,0.05%,5.73
https://www.stz.com.br/sapatilha-modare-ultraconforto-detalhe-matelasse-bege-5190392-p2764641,16,26549,0.06%,8.17
https://www.stz.com.br/bolsa-satchel-pequena-gabriela-texturizada-bege-5189420-p2757026,16,18073,0.09%,4.39
https://www.stz.com.br/calcados-femininos/oxford,16,8530,0.19%,17.4
https://www.stz.com.br/tenis-nike-revolution-6-next-nature-esportivo-feminino-preto-5190038-p2761600,16,5260,0.3%,12.79
https://www.stz.com.br/marcas/grendene-kids,16,4384,0.36%,16.48
https://www.stz.com.br/hotsite/salto,16,1652,0.97%,5.89
https://www.stz.com.br/campanha-tamancos,16,1152,1.39%,5.86
https://www.stz.com.br/marcas/iceberg,16,537,2.98%,7.16
https://www.stz.com.br/bolsa-tiracolo-infantil-gabrielinha-corrente-matelasse-dourada-5193328-p2787426,15,34088,0.04%,8.98
https://www.stz.com.br/sandalia-gabriela-essenciais-salto-grosso-pespontos-nude-5162499-p1653168,15,12396,0.12%,5.24
https://www.stz.com.br/sapatilha-boneca-slingback-gabriela-tiras-fivelas-verniz-vinho-5196934-p2804745,15,10291,0.15%,8.42
https://www.stz.com.br/peep-toe-vizzano-meia-pata-glitter-dourado-5151428-p601608,15,7509,0.2%,8.79
https://www.stz.com.br/tenis-black-free-porsche-esportivo-masculino-preto-5153693-p1133133,15,5553,0.27%,7.59
https://www.stz.com.br/sandalia-dakota-salto-grosso-tiras-cruzadas-strass-elastico-off-white-5196487-p2801607,15,3815,0.39%,06.06
https://www.stz.com.br/marcas/bottero,15,3192,0.47%,23.51
https://www.stz.com.br/marcas/penelope?pg=3,15,3039,0.49%,6.59
https://www.stz.com.br/sandalia-via-marte-salto-taca-metalizada-strass-rose-gold-5200796-p2827999,15,2434,0.62%,2.23
https://www.stz.com.br/marcas/beira-rio-conforto,15,2381,0.63%,16.33
https://www.stz.com.br/marcas/modare-ultraconforto?pg=2,15,2107,0.71%,8.51
https://www.stz.com.br/guarda-chuva-sombrinha-susino-poa-preto-5173268-p2611544,15,2026,0.74%,7.83
https://www.stz.com.br/livelo,15,1923,0.78%,30.57
https://www.stz.com.br/campanha-email-sandalias,15,1869,0.8%,6.7
https://www.stz.com.br/slide-nike-kawa-shower-preto-5140756-p80643,15,1739,0.86%,20.44
https://www.stz.com.br/tamanco-gabriela-salto-fino-preto-5149997-p600404,15,1222,1.23%,8.62
https://www.stz.com.br/bolsa-esportiva-cross-road-gym-bag-preto-5187941-p2741612,15,1121,1.34%,48.19
https://www.stz.com.br/acessorios/necessaire,15,1099,1.36%,43.44
https://www.stz.com.br/tenis-fila-stay-athleisure-esportivo-feminino-tecido-rosa-5192293-p2781694,15,776,1.93%,3.97
https://www.stz.com.br/palmilha-stz-masculino-tamanho-ajustavel-preto-5153509-p1130990,15,523,2.87%,11.03
https://www.stz.com.br/mule-vizzano-salto-fino-camurca-animal-print-caramelo-5164313-p1668255,15,354,4.24%,5.65
https://www.stz.com.br/sapato-social-broken-rules-com-fivela-preto-5141954-p155599,15,315,4.76%,5.79
https://www.stz.com.br/tenis-vizzano-flatform-feminino-camurca-preto-5110526-p1619,14,67299,0.02%,7.88
https://www.stz.com.br/tenis-asics-esportivo-streetwise-masculino-cinza-5184152-p2709279,14,39031,0.04%,06.03
https://www.stz.com.br/sandalia-gabriela-salto-grosso-tiras-cruzadas-caramelo-5197273-p2807478,14,34973,0.04%,7.73
https://www.stz.com.br/menino/sapatos,14,13352,0.1%,10.22
https://www.stz.com.br/marcas/mr-cat,14,12627,0.11%,14.28
https://www.stz.com.br/sandalia-dakota-salto-grosso-detalhe-torcao-strass-rose-5193788-p2790181,14,10703,0.13%,3.32
